id_cliente,nome,email,telefone,data_cadastro
1,João Silva,joao.silva@email.com,(11) 9999-8888,2024-01-15 09:30:00
2,Maria Santos,maria.santos@email.com,(11) 9777-6666,2024-01-16 14:20:00
3,Pedro Oliveira,pedro.oliveira@email.com,(11) 9555-4444,2024-01-17 10:15:00
4,Ana Costa,ana.costa@email.com,(11) 9333-2222,2024-01-18 16:45:00
5,Carlos Lima,carlos.lima@email.com,(11) 9111-0000,2024-01-19 08:00:00
6,Juliana Pereira,juliana.pereira@email.com,(11) 9444-3333,2024-02-01 11:20:00
7,Rafael Souza,rafael.souza@email.com,(11) 9666-7777,2024-02-02 15:30:00
8,Fernanda Lima,fernanda.lima@email.com,(11) 9888-9999,2024-02-03 09:15:00
9,Rodrigo Martins,rodrigo.martins@email.com,(11) 9222-1111,2024-02-04 14:00:00
10,Patrícia Rocha,patricia.rocha@email.com,(11) 9333-4444,2024-02-05 16:45:00
